Timestamp,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
1700108844.437250,4383.077148,4444.358887,4166.410156,4272.948730,4370.641113
1700108844.445060,4384.615234,4418.205078,4178.077148,4279.358887,4380.256348
1700108844.452870,4376.538574,4441.538574,4153.077148,4284.871582,4385.000000
1700108844.460680,4364.743652,4471.538574,4134.615234,4286.282227,4374.358887
1700108844.468490,4361.794922,4463.333496,4145.128418,4278.974121,4366.410156
1700108844.476300,4364.615234,4459.102539,4137.307617,4279.230957,4368.974121
1700108844.484110,4366.282227,4467.820313,4120.000000,4288.717773,4371.410156
1700108844.491920,4370.512695,4452.051270,4118.589844,4285.000000,4377.820313
1700108844.499730,4373.461426,4431.282227,4115.512695,4278.077148,4387.820313
1700108844.507540,4379.487305,4445.769043,4118.589844,4288.589844,4390.512695
1700108844.515350,4394.871582,4468.846191,4131.153809,4294.230957,4393.846191
1700108844.523160,4393.077148,4458.077148,4132.179688,4281.410156,4395.000000
1700108844.530970,4370.256348,4437.948730,4139.487305,4272.820313,4379.102539
1700108844.538780,4364.358887,4437.692383,4150.256348,4272.563965,4368.974121
1700108844.546590,4370.384766,4430.128418,4144.230957,4272.051270,4380.897461
1700108844.554400,4369.230957,4415.897461,4158.846191,4277.692383,4385.769043
1700108844.562210,4379.102539,4431.410156,4182.563965,4283.589844,4380.256348
1700108844.570020,4386.538574,4451.410156,4164.230957,4283.077148,4381.282227
1700108844.577830,4373.589844,4444.102539,4154.102539,4290.000000,4378.589844
1700108844.585640,4381.794922,4439.102539,4170.128418,4293.717773,4380.128418
1700108844.593450,4409.615234,4440.384766,4146.410156,4275.256348,4398.589844
1700108844.601260,4409.230957,4434.230957,4123.846191,4261.025879,4404.615234
1700108844.609070,4407.563965,4450.384766,4147.692383,4270.897461,4396.025879
1700108844.616880,4442.563965,4475.256348,4145.256348,4280.512695,4408.846191
1700108844.624690,4468.717773,4461.153809,4123.333496,4282.051270,4430.256348
1700108844.632500,4456.666504,4443.205078,4138.846191,4285.384766,4434.358887
1700108844.640310,4443.461426,4453.846191,4144.487305,4279.743652,4432.436035
1700108844.648120,4443.461426,4445.641113,4135.128418,4266.410156,4424.871582
1700108844.655930,4435.000000,4419.743652,4160.512695,4266.666504,4411.410156
1700108844.663740,4425.384766,4423.717773,4177.179688,4279.743652,4417.051270
1700108844.671550,4431.922852,4434.871582,4157.179688,4283.717773,4428.333496
1700108844.679360,4433.461426,4429.358887,4157.307617,4270.256348,4413.077148
1700108844.687170,4420.641113,4438.461426,4181.922852,4258.974121,4397.307617
1700108844.694980,4421.794922,4452.820313,4188.205078,4268.846191,4406.410156
1700108844.702790,4430.769043,4439.871582,4175.384766,4279.102539,4411.153809
1700108844.710600,4421.282227,4426.025879,4166.538574,4272.563965,4401.153809
1700108844.718410,4412.436035,4440.128418,4160.256348,4273.461426,4398.589844
1700108844.726220,4420.512695,4460.769043,4138.077148,4282.179688,4400.256348
1700108844.734030,4431.025879,4467.820313,4122.051270,4272.179688,4397.692383
1700108844.741840,4435.384766,4464.230957,4140.128418,4262.563965,4398.589844
1700108844.749650,4421.410156,4455.769043,4144.358887,4269.871582,4395.512695
1700108844.757460,4398.717773,4444.615234,4118.461426,4266.153809,4386.794922
1700108844.765270,4409.871582,4435.897461,4132.307617,4257.948730,4395.256348
